addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
FF96,7,standalone,FF96,7,F72F,7,144,0x23,control|ptr_scan|xbank
DC80,7,standalone,DC80,7,CD7D,7,2,0x03,control|ptr_scan
E603,7,standalone,E603,7,E603,7,1,0x01,control
D269,7,standalone,D269,7,CD7D,7,37,0x23,control|ptr_scan|xbank
DE39,7,standalone,DE39,7,D0F5,7,44,0x03,control|ptr_scan
E12F,7,standalone,E12F,7,E12F,7,44,0x03,control|ptr_scan
DCCE,7,standalone,DCCE,7,CD7D,7,44,0x03,control|ptr_scan
CB25,7,standalone,CB25,7,C9EB,7,46,0x03,control|ptr_scan
EE11,7,standalone,EE11,7,EE11,7,55,0x03,control|ptr_scan
D2F6,7,standalone,D2F6,7,CD7D,7,170,0x23,control|ptr_scan|xbank
E1B9,7,standalone,E1B9,7,D1C9,7,222,0x23,control|ptr_scan|xbank
E5D1,7,standalone,E5D1,7,E5D1,7,1081,0x23,control|ptr_scan|xbank
CFBF,7,standalone,CFBF,7,CD7D,7,177,0x23,control|ptr_scan|xbank
D406,7,standalone,D406,7,CD7D,7,177,0x23,control|ptr_scan|xbank
E11E,7,secondary,D0F5,7,D0F5,7,5,0x03,control|ptr_scan
CF72,7,standalone,CF72,7,CD7D,7,257,0x27,control|ptr_scan|table_run|xbank
CFF3,7,standalone,CFF3,7,CD7D,7,261,0x27,control|ptr_scan|table_run|xbank
CFE4,7,standalone,CFE4,7,CD7D,7,131,0x27,control|ptr_scan|table_run|xbank
CD30,7,standalone,CD30,7,C9EB,7,263,0x27,control|ptr_scan|table_run|xbank
CC71,7,standalone,CC71,7,C9EB,7,313,0x27,control|ptr_scan|table_run|xbank
CCDA,7,standalone,CCDA,7,C9EB,7,153,0x27,control|ptr_scan|table_run|xbank
E5F2,7,standalone,E5F2,7,E5F2,7,1566,0x27,control|ptr_scan|table_run|xbank
8009,0,standalone,8009,0,8009,0,19,0x20,xbank
8009,1,standalone,8009,1,8009,1,19,0x20,xbank
8009,2,standalone,8009,2,8006,2,896,0x23,control|ptr_scan|xbank
8009,3,standalone,8009,3,8009,3,19,0x20,xbank
8009,4,standalone,8009,4,8009,4,19,0x20,xbank
8009,5,standalone,8009,5,8009,5,19,0x20,xbank
8009,6,standalone,8009,6,8009,6,19,0x20,xbank
D46D,7,standalone,D46D,7,CD7D,7,142,0x23,control|ptr_scan|xbank
