extra_func 7 0xCDE7  # cpu=$CDE7 target=CODE A=FF X=04 Y=01 call_site=$0000
extra_func 7 0xD7D0  # cpu=$D7D0 target=CODE A=D7 X=07 Y=02 call_site=$023C
extra_func 7 0xD7B8  # cpu=$D7B8 target=CODE A=D7 X=07 Y=00 call_site=$023A
extra_func 7 0xD7C4  # cpu=$D7C4 target=CODE A=D7 X=07 Y=01 call_site=$0239
extra_func 6 0x89DD  # cpu=$89DD target=CODE A=89 X=03 Y=01 call_site=$0000
extra_func 7 0xE9AE  # cpu=$E9AE target=CODE A=00 X=FF Y=00 call_site=$FF00
extra_func 7 0xCA7D  # cpu=$CA7D target=CODE A=00 X=7C Y=00 call_site=$7C00
extra_func 6 0x9DED  # cpu=$9DED target=CODE A=00 X=EC Y=00 call_site=$EC00
extra_func 2 0xA409  # cpu=$A409 target=CODE A=00 X=08 Y=00 call_site=$0800
extra_func 7 0xE195  # cpu=$E195 target=CODE A=00 X=94 Y=00 call_site=$9400
extra_func 2 0xB7B1  # cpu=$B7B1 target=CODE A=00 X=B0 Y=00 call_site=$B000
extra_func 6 0x93E9  # cpu=$93E9 target=CODE A=00 X=E8 Y=00 call_site=$E800
extra_func 7 0xE159  # cpu=$E159 target=CODE A=00 X=58 Y=00 call_site=$5800
extra_func 2 0xA88D  # cpu=$A88D target=CODE A=00 X=8C Y=00 call_site=$8C00
extra_func 2 0xBFA9  # cpu=$BFA9 target=CODE A=00 X=A8 Y=00 call_site=$A800
extra_func 2 0xB9FD  # cpu=$B9FD target=CODE A=00 X=FC Y=00 call_site=$FC00
extra_func 7 0xDD35  # cpu=$DD35 target=CODE A=00 X=34 Y=00 call_site=$3400
extra_func 6 0x8651  # cpu=$8651 target=CODE A=00 X=50 Y=00 call_site=$5000
extra_func 7 0xF4A5  # cpu=$F4A5 target=CODE A=00 X=A4 Y=00 call_site=$A400
extra_func 7 0xE7F9  # cpu=$E7F9 target=CODE A=00 X=F8 Y=00 call_site=$F800
extra_func 7 0xED15  # cpu=$ED15 target=CODE A=00 X=14 Y=00 call_site=$1400
extra_func 2 0xBA4D  # cpu=$BA4D target=CODE A=00 X=4C Y=00 call_site=$4C00
extra_func 7 0xD469  # cpu=$D469 target=CODE A=00 X=68 Y=00 call_site=$6800
extra_func 7 0xF6A1  # cpu=$F6A1 target=CODE A=00 X=A0 Y=00 call_site=$A000
extra_func 7 0xCDBD  # cpu=$CDBD target=CODE A=00 X=BC Y=00 call_site=$BC00
extra_func 2 0xA311  # cpu=$A311 target=CODE A=00 X=10 Y=00 call_site=$1000
extra_func 6 0x8365  # cpu=$8365 target=CODE A=00 X=64 Y=00 call_site=$6400
extra_func 2 0xB281  # cpu=$B281 target=ZERO_FILLED A=00 X=80 Y=00 call_site=$8000
extra_func 7 0xEFB9  # cpu=$EFB9 target=CODE A=00 X=B8 Y=00 call_site=$B800
extra_func 7 0xCA0D  # cpu=$CA0D target=CODE A=00 X=0C Y=00 call_site=$0C00
extra_func 2 0xAD29  # cpu=$AD29 target=CODE A=00 X=28 Y=00 call_site=$2800
extra_func 7 0xE37D  # cpu=$E37D target=CODE A=00 X=7C Y=00 call_site=$7C00
extra_func 7 0xE1B5  # cpu=$E1B5 target=CODE A=00 X=B4 Y=00 call_site=$B400
extra_func 7 0xC125  # cpu=$C125 target=CODE A=00 X=24 Y=00 call_site=$2400
extra_func 7 0xDDB1  # cpu=$DDB1 target=CODE A=00 X=B0 Y=00 call_site=$B000
extra_func 2 0xB921  # cpu=$B921 target=CODE A=00 X=20 Y=00 call_site=$2000
extra_func 7 0xDD3D  # cpu=$DD3D target=RTS_STUB A=00 X=3C Y=00 call_site=$3C00
extra_func 2 0xA51D  # cpu=$A51D target=CODE A=00 X=1C Y=00 call_site=$1C00
extra_func 6 0xA009  # cpu=$8009 target=CODE A=0D X=06 Y=00 call_site=$0000
extra_func 6 0xA003  # cpu=$8003 target=CODE A=05 X=10 Y=00 call_site=$0000
extra_func 7 0xD7C4  # cpu=$D7C4 target=CODE A=D7 X=07 Y=01 call_site=$023C
extra_func 7 0xD7B8  # cpu=$D7B8 target=CODE A=D7 X=07 Y=00 call_site=$0239
extra_func 7 0xFF01  # cpu=$FF01 target=ZERO_FILLED A=00 X=03 Y=04 call_site=$2127
extra_func 3 0x2128  # cpu=$2128 target=ZERO_FILLED A=00 X=02 Y=04 call_site=$0000
extra_func 3 0x5C01  # cpu=$5C01 target=ZERO_FILLED A=00 X=01 Y=02 call_site=$212F
extra_func 3 0x2001  # cpu=$2001 target=ZERO_FILLED A=00 X=03 Y=02 call_site=$2300
extra_func 3 0x8C01  # cpu=$8C01 target=CODE A=00 X=01 Y=02 call_site=$E0C5
extra_func 3 0xBC01  # cpu=$BC01 target=CODE A=00 X=01 Y=02 call_site=$2300
extra_func 7 0xE0B9  # cpu=$E0B9 target=CODE A=00 X=01 Y=02 call_site=$0000
