entry_type,addr,bank,status,canonical_addr,canonical_bank
extra_func,FF96,7,AUTO_DISCOVERED,,
extra_func,E12F,7,AUTO_DISCOVERED,,
extra_func,EE11,7,AUTO_DISCOVERED,,
extra_func,E5D1,7,AUTO_DISCOVERED,,
extra_func,C004,7,AUTO_DISCOVERED,,
extra_func,C008,7,AUTO_DISCOVERED,,
extra_func,C020,7,AUTO_DISCOVERED,,
extra_func,C1B3,7,AUTO_DISCOVERED,,
extra_func,C1DD,7,AUTO_DISCOVERED,,
extra_func,C1DF,7,AUTO_DISCOVERED,,
extra_func,C293,7,AUTO_DISCOVERED,,
extra_func,C313,7,AUTO_DISCOVERED,,
extra_func,C3ED,7,AUTO_DISCOVERED,,
extra_func,C400,7,AUTO_DISCOVERED,,
extra_func,C496,7,AUTO_DISCOVERED,,
extra_func,C47B,7,AUTO_DISCOVERED,,
extra_func,C555,7,AUTO_DISCOVERED,,
extra_func,C56C,7,AUTO_DISCOVERED,,
extra_func,C5F4,7,AUTO_DISCOVERED,,
extra_func,C647,7,AUTO_DISCOVERED,,
extra_func,C693,7,AUTO_DISCOVERED,,
extra_func,C697,7,AUTO_DISCOVERED,,
extra_func,C73B,7,AUTO_DISCOVERED,,
extra_func,C744,7,AUTO_DISCOVERED,,
extra_func,C756,7,AUTO_DISCOVERED,,
extra_func,C75C,7,AUTO_DISCOVERED,,
extra_func,C7D4,7,AUTO_DISCOVERED,,
extra_func,C836,7,AUTO_DISCOVERED,,
extra_func,C852,7,AUTO_DISCOVERED,,
extra_func,C915,7,AUTO_DISCOVERED,,
extra_func,C920,7,AUTO_DISCOVERED,,
extra_func,CA16,7,AUTO_DISCOVERED,,
extra_func,CA32,7,AUTO_DISCOVERED,,
extra_func,CAF5,7,AUTO_DISCOVERED,,
extra_func,D341,7,AUTO_DISCOVERED,,
extra_func,CD7D,7,AUTO_DISCOVERED,,
extra_func,CDE7,7,AUTO_DISCOVERED,,
extra_func,E9EA,7,AUTO_DISCOVERED,,
extra_func,E4E3,7,AUTO_DISCOVERED,,
extra_func,EA13,7,AUTO_DISCOVERED,,
extra_func,C015,7,AUTO_DISCOVERED,,
extra_func,E5F2,7,AUTO_DISCOVERED,,
extra_func,D130,7,AUTO_DISCOVERED,,
extra_func,D195,7,AUTO_DISCOVERED,,
extra_func,D191,7,AUTO_DISCOVERED,,
extra_func,D201,7,AUTO_DISCOVERED,,
extra_func,D278,7,AUTO_DISCOVERED,,
extra_func,D280,7,AUTO_DISCOVERED,,
extra_func,E510,7,AUTO_DISCOVERED,,
extra_func,E4D8,7,AUTO_DISCOVERED,,
extra_func,EEB4,7,AUTO_DISCOVERED,,
extra_func,D950,7,AUTO_DISCOVERED,,
extra_func,E417,7,AUTO_DISCOVERED,,
extra_func,D963,7,AUTO_DISCOVERED,,
extra_func,E49D,7,AUTO_DISCOVERED,,
extra_func,E436,7,AUTO_DISCOVERED,,
extra_func,E035,7,AUTO_DISCOVERED,,
