addr,bank,kind,canonical_addr,canonical_bank,covering_addr,covering_bank,evidence_count,source_flags_hex,source_flags
FF96,7,standalone,FF96,7,FCFD,7,169,0x23,control|ptr_scan|xbank
DC80,7,standalone,DC80,7,CD7D,7,2,0x03,control|ptr_scan
E603,7,standalone,E603,7,E603,7,1,0x01,control
D269,7,standalone,D269,7,C3ED,7,38,0x23,control|ptr_scan|xbank
DE39,7,standalone,DE39,7,D0F5,7,46,0x03,control|ptr_scan
9E39,0,standalone,9E39,0,9E39,0,4,0x20,xbank
BE39,0,standalone,BE39,0,BE39,0,4,0x20,xbank
9E39,1,standalone,9E39,1,9E39,1,4,0x20,xbank
BE39,1,standalone,BE39,1,BE39,1,4,0x20,xbank
9E39,2,standalone,9E39,2,9E39,2,4,0x20,xbank
BE39,2,standalone,BE39,2,BE39,2,4,0x20,xbank
9E39,3,standalone,9E39,3,9E39,3,4,0x20,xbank
BE39,3,standalone,BE39,3,BE39,3,4,0x20,xbank
9E39,4,standalone,9E39,4,9E39,4,4,0x20,xbank
BE39,4,secondary,B0C6,4,B0C6,4,4,0x20,xbank
9E39,5,standalone,9E39,5,9483,5,8,0x25,control|table_run|xbank
BE39,5,secondary,BCC4,5,BCC4,5,4,0x20,xbank
9E39,6,standalone,9E39,6,9E39,6,4,0x20,xbank
BE39,6,standalone,BE39,6,BE39,6,4,0x20,xbank
E12F,7,standalone,E12F,7,E12F,7,46,0x03,control|ptr_scan
DCCE,7,standalone,DCCE,7,CD7D,7,46,0x03,control|ptr_scan
9CCE,0,standalone,9CCE,0,9CCE,0,4,0x20,xbank
BCCE,0,standalone,BCCE,0,BCCE,0,4,0x20,xbank
9CCE,1,standalone,9CCE,1,9CCE,1,4,0x20,xbank
BCCE,1,standalone,BCCE,1,BCCE,1,4,0x20,xbank
9CCE,2,standalone,9CCE,2,9CCE,2,4,0x20,xbank
BCCE,2,standalone,BCCE,2,BCCE,2,4,0x20,xbank
9CCE,3,standalone,9CCE,3,9CCE,3,4,0x20,xbank
BCCE,3,standalone,BCCE,3,BCCE,3,4,0x20,xbank
9CCE,4,standalone,9CCE,4,9CCE,4,4,0x20,xbank
BCCE,4,standalone,BCCE,4,BCCE,4,4,0x20,xbank
9CCE,5,secondary,9483,5,9483,5,4,0x20,xbank
BCCE,5,standalone,BCCE,5,BCCE,5,4,0x20,xbank
9CCE,6,standalone,9CCE,6,9CCE,6,4,0x20,xbank
BCCE,6,standalone,BCCE,6,BCCE,6,4,0x20,xbank
CB25,7,standalone,CB25,7,C004,7,48,0x03,control|ptr_scan
8B25,0,standalone,8B25,0,8B25,0,6,0x20,xbank
AB25,0,standalone,AB25,0,AB25,0,6,0x20,xbank
8B25,1,standalone,8B25,1,8B25,1,6,0x20,xbank
AB25,1,standalone,AB25,1,AB25,1,6,0x20,xbank
8B25,2,standalone,8B25,2,8B25,2,6,0x20,xbank
AB25,2,standalone,AB25,2,AB25,2,6,0x20,xbank
8B25,3,standalone,8B25,3,8B25,3,6,0x20,xbank
AB25,3,standalone,AB25,3,AB25,3,6,0x20,xbank
8B25,4,standalone,8B25,4,8B25,4,6,0x20,xbank
AB25,4,standalone,AB25,4,AB25,4,6,0x20,xbank
8B25,5,standalone,8B25,5,8B25,5,6,0x20,xbank
AB25,5,standalone,AB25,5,AB25,5,6,0x20,xbank
8B25,6,standalone,8B25,6,8B25,6,6,0x20,xbank
AB25,6,standalone,AB25,6,AB25,6,6,0x20,xbank
EE11,7,standalone,EE11,7,EE11,7,56,0x03,control|ptr_scan
D2F6,7,standalone,D2F6,7,C3ED,7,197,0x23,control|ptr_scan|xbank
E1B9,7,standalone,E1B9,7,D191,7,251,0x23,control|ptr_scan|xbank
E5D1,7,standalone,E5D1,7,E5D1,7,1207,0x23,control|ptr_scan|xbank
CFBF,7,standalone,CFBF,7,C004,7,204,0x23,control|ptr_scan|xbank
D406,7,standalone,D406,7,C496,7,204,0x23,control|ptr_scan|xbank
BE0B,0,standalone,BE0B,0,BE0B,0,2,0x20,xbank
BEAF,4,standalone,BEAF,4,BEAF,4,104,0x25,control|table_run|xbank
BE6B,4,standalone,BE6B,4,BE6B,4,105,0x25,control|table_run|xbank
BE83,4,standalone,BE83,4,BE83,4,206,0x25,control|table_run|xbank
BEE6,4,standalone,BEE6,4,BEE6,4,108,0x25,control|table_run|xbank
BEBE,4,standalone,BEBE,4,BEBE,4,111,0x25,control|table_run|xbank
BEDD,4,standalone,BEDD,4,BEDD,4,113,0x25,control|table_run|xbank
BEF6,4,standalone,BEF6,4,BEF6,4,115,0x25,control|table_run|xbank
BEFC,4,standalone,BEFC,4,BEFC,4,115,0x25,control|table_run|xbank
BF20,4,standalone,BF20,4,BF20,4,117,0x25,control|table_run|xbank
BF75,4,standalone,BF75,4,BF75,4,115,0x25,control|table_run|xbank
BF24,4,standalone,BF24,4,BF24,4,115,0x25,control|table_run|xbank
BF3D,4,standalone,BF3D,4,BF3D,4,114,0x25,control|table_run|xbank
BF4A,4,standalone,BF4A,4,BF4A,4,113,0x25,control|table_run|xbank
BF5E,4,standalone,BF5E,4,BF5E,4,110,0x25,control|table_run|xbank
C004,7,standalone,C004,7,C004,7,110,0x25,control|table_run|xbank
BF92,4,standalone,BF92,4,BF92,4,110,0x25,control|table_run|xbank
BFA2,4,standalone,BFA2,4,BFA2,4,111,0x25,control|table_run|xbank
BFC7,4,standalone,BFC7,4,BFC7,4,110,0x25,control|table_run|xbank
