entry_type,addr,bank,status,canonical_addr,canonical_bank
extra_func,FF96,7,AUTO_DISCOVERED,,
extra_func,E12F,7,AUTO_DISCOVERED,,
extra_func,EE11,7,AUTO_DISCOVERED,,
extra_func,E5D1,7,AUTO_DISCOVERED,,
extra_func,E5F2,7,AUTO_DISCOVERED,,
extra_func,CD7D,7,AUTO_DISCOVERED,,
extra_func,E4D8,7,AUTO_DISCOVERED,,
extra_func,E510,7,AUTO_DISCOVERED,,
extra_func,E436,7,AUTO_DISCOVERED,,
extra_func,DC27,7,AUTO_DISCOVERED,,
extra_func,DBAF,7,AUTO_DISCOVERED,,
extra_func,E9EA,7,AUTO_DISCOVERED,,
extra_func,EEB4,7,AUTO_DISCOVERED,,
extra_func,D341,7,AUTO_DISCOVERED,,
extra_func,D950,7,AUTO_DISCOVERED,,
extra_func,E4E3,7,AUTO_DISCOVERED,,
extra_func,E417,7,AUTO_DISCOVERED,,
extra_func,E49D,7,AUTO_DISCOVERED,,
extra_func,E544,7,AUTO_DISCOVERED,,
extra_func,E4B5,7,AUTO_DISCOVERED,,
extra_func,E57D,7,AUTO_DISCOVERED,,
extra_func,EC36,7,AUTO_DISCOVERED,,
extra_func,EF9B,7,AUTO_DISCOVERED,,
extra_func,EA13,7,AUTO_DISCOVERED,,
extra_func,ED21,7,AUTO_DISCOVERED,,
extra_func,ED36,7,AUTO_DISCOVERED,,
extra_func,EC91,7,AUTO_DISCOVERED,,
extra_func,ED45,7,AUTO_DISCOVERED,,
extra_func,EF3D,7,AUTO_DISCOVERED,,
extra_func,E9D2,7,AUTO_DISCOVERED,,
extra_func,E613,7,AUTO_DISCOVERED,,
extra_func,E928,7,AUTO_DISCOVERED,,
extra_func,EA89,7,AUTO_DISCOVERED,,
extra_func,EA5C,7,AUTO_DISCOVERED,,
extra_func,F459,7,AUTO_DISCOVERED,,
extra_func,D0F5,7,AUTO_DISCOVERED,,
extra_func,F58A,7,AUTO_DISCOVERED,,
extra_func,F598,7,AUTO_DISCOVERED,,
extra_func,F068,7,AUTO_DISCOVERED,,
extra_func,F712,7,AUTO_DISCOVERED,,
extra_func,F772,7,AUTO_DISCOVERED,,
extra_func,F873,7,AUTO_DISCOVERED,,
extra_func,EF26,7,AUTO_DISCOVERED,,
extra_func,ECF7,7,AUTO_DISCOVERED,,
extra_func,F5BD,7,AUTO_DISCOVERED,,
extra_func,FB30,7,AUTO_DISCOVERED,,
extra_func,FC2B,7,AUTO_DISCOVERED,,
extra_func,FC1D,7,AUTO_DISCOVERED,,
extra_func,EA22,7,AUTO_DISCOVERED,,
extra_func,ED0C,7,AUTO_DISCOVERED,,
extra_func,ED68,7,AUTO_DISCOVERED,,
extra_func,E035,7,AUTO_DISCOVERED,,
extra_func,EF6C,7,AUTO_DISCOVERED,,
extra_func,E9F9,7,AUTO_DISCOVERED,,
extra_func,ECE2,7,AUTO_DISCOVERED,,
extra_func,EA76,7,AUTO_DISCOVERED,,
